name,id,p_primaryCategory,p_subCategory1,p_subCategory2,p_subCategory3,p_subCategory4,p_brakeType,p_experience,p_price,p_suspension,p_group,p_productFamily,p_gender,p_driveTrain,brand,p_material,p_color,p_scene7_id,p_wheelSize,price,url
S-Works CruX,154297,Sale,Bikes,Road Bikes,Cyclocross Bikes,CruX,Disc,Cyclocross,$5000-$10000,Rigid,Bikes,CruX,Men|Women,1x|Electronic,Road,Carbon,Gloss Acid Pink/Chameleon/Metallic White Silver/Clean,91419-00_CRUX_SW-DI2_ACDPNK-CMLN-METWHTSIL_HERO,700C,9000,https://www.specialized.com/us/en/s-works-crux/p/154297?color=227234-154297
S-Works Ruby,154484,Sale,Bikes,Road Bikes,Performance Road Bikes,Ruby,Disc,Performance Road,$5000-$10000|$10000 Or Greater,Front,Bikes,Ruby,Women,2x|Electronic,Road,Carbon,Satin Gloss Carbon/Acid Purple Rocket Red Fade,90218-00_SW-RUBY-DI2-CARB-ACDPRP-RKTRED_HERO,700C,10000,https://www.specialized.com/us/en/s-works-ruby/p/154484?color=239526-154484
S-Works Epic Hardtail,154340,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic Hardtail,Disc,Cross Country,$5000-$10000,Front,Bikes,Epic Hardtail,Men,1x,Mountain,Carbon,Gloss Carbon/Rocket Red,91319-00_EPIC-HT_SW-CARBON-SRAM-29_CARB-RKTRED_HERO,29,8520,https://www.specialized.com/us/en/s-works-epic-hardtail/p/154340?color=237763-154340
Mens Turbo Levo Expert,154388,Sale,Bikes,Sale,Bikes,"Turbo E-Bikes: Its You, Only Faster",Disc,Trail|Turbo Levo,$5000-$10000,Front & Rear,Bikes,Turbo Levo FSR,Men,1x,E-Bike|Mountain,Carbon,Carbon/Monster Green,95219-30_LEVO-FSR_EXPERT-CARBON-29_CARB-MONGRN_HERO,29,8250,https://www.specialized.com/us/en/mens-turbo-levo-expert/p/154388?color=239491-154388
Venge Pro,154594,Sale,Bikes,Road Bikes,Performance Road Bikes,Venge,Disc,Performance Road,$5000-$10000,Rigid,Bikes,Venge,Men,2x|Electronic,Road,Carbon,Satin Black/Holographic Black,97819-11_VENGE_PRO-DISC-UDI2_PLMPRP-BLK_HERO,700C,8020,https://www.specialized.com/us/en/venge-pro/p/154594?color=240851-154594
Venge Pro - SRAM eTAP,171340,Sale,Bikes,Road Bikes,Performance Road Bikes,Venge,Disc,Performance Road,$5000-$10000,Rigid,Bikes,Venge,Men|Women,2x|Electronic,Road,Carbon,GLOSS TEAL TINT/BLACK REFLECTIVE,97820-11_VENGE-PRO-DISC-ETAP-TLTNT-BLK_HERO,700C,8020,https://www.specialized.com/us/en/venge-pro--sram-etap/p/171340?color=271646-171340
Turbo Kenevo Expert,154896,Sale,Bikes,Sale,Bikes,"Turbo E-Bikes: Its You, Only Faster",Disc,Trail|Turbo Levo,$5000-$10000,Front & Rear,Bikes,Turbo Kenevo,Men|Women,1x,E-Bike|Mountain,Aluminum,Storm Grey/Rocket Red,98018-70_KENEVO-FSR_6FATTIE_BLK_HERO,6Fattie,7550,https://www.specialized.com/us/en/turbo-kenevo-expert/p/154896?color=239462-154896
Roubaix Pro – SRAM Force eTAP AXS,171045,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$5000-$10000,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Gloss Teal Tint/Charcoal/Blue,94420-10_ROUBAIX-PRO-ETAP-TLTNT-CHAR-BLU_HERO,NA,7000,https://www.specialized.com/us/en/roubaix-pro--sram-force-etap-axs/p/171045?color=263089-171045
Mens Turbo Levo Comp Carbon,154384,Sale,Bikes,Sale,Bikes,"Turbo E-Bikes: Its You, Only Faster",Disc,Trail|Turbo Levo,$5000-$10000,Front & Rear,Bikes,Turbo Levo FSR,Men,1x,E-Bike|Mountain,Carbon,Blue Tint/White,95219-40_LEVO-FSR_COMP-CARBON-29_BLUTNT-WHT_HERO,29,6950,https://www.specialized.com/us/en/mens-turbo-levo-comp-carbon/p/154384?color=239500-154384
Mens Epic Pro,154347,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$5000-$10000,Front & Rear,Bikes,Epic,Men,1x,Mountain,Carbon,Satin Carbon/Acid Mint,90319-11_EPIC_PRO-CARBON-29_WHT-TARBLK_HERO,29,6850,https://www.specialized.com/us/en/mens-epic-pro/p/154347?color=239067-154347
Mens Tarmac Disc Pro,154559,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$5000-$10000,Rigid,Bikes,Tarmac,Men,2x|Electronic,Road,Carbon,Satin Black/Holographic Black,90618-12_TAR_SL6-PRO-DISC-UDi2_BLK-BLK_HERO,700C,6700,https://www.specialized.com/us/en/mens-tarmac-disc-pro/p/154559?color=227222-154559
Mens Stumpjumper EVO Pro 27.5,154546,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Stumpjumper Evo,Men,1x,Mountain,Carbon,Carbon / Mint,93319-10_SJ-FSR-MEN-PRO-CARBON-EVO-275-CARB-MNT_HERO,27.5,6700,https://www.specialized.com/us/en/mens-stumpjumper-evo-pro-27-5/p/154546?color=261170-154546
Mens Stumpjumper EVO Pro 29,154548,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Stumpjumper Evo,Men,1x,Mountain,Carbon,Carbon / Mint,93319-11_SJ-FSR-MEN-PRO-CARBON-EVO-29-CARB-MNT_HERO,29,6700,https://www.specialized.com/us/en/mens-stumpjumper-evo-pro-29/p/154548?color=261171-154548
Mens Diverge Pro,157773,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$5000-$10000,Front,Bikes,Diverge,Men,2x,Road,Carbon,Satin Cav Tint Green/Blue Crystal Flake/Light Silver,95419-10_DIV_PRO-UDI2-19_CAVGRN-BLUCRYFLK-LTSIL_HERO,700C,6700,https://www.specialized.com/us/en/mens-diverge-pro/p/157773?color=239510-157773
Tarmac Pro Disc – SRAM eTAP,171349,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$5000-$10000,Rigid,Bikes,Tarmac,Men|Women,2x|Electronic,Road,Carbon,Gloss Teal Tint/Black Reflective/Clean,90620-11_TARMAC-SL6-PRO-DISC-ETAP-TLTNT-BLK_HERO,700C,6700,https://www.specialized.com/us/en/tarmac-pro-disc-sram-etap/p/171349?color=271669-171349
Demo Race 29,154301,Sale,Bikes,Mountain Bikes,Downhill Mountain Bikes,Demo,Disc,Downhill,$5000-$10000,Front & Rear,Bikes,Demo,Men|Women,1x,Mountain,Aluminum|Carbon,Gloss / Metallic Black / Burnt Yellow,MTB-1518_PDP_Product-Carousel_1_3840x1280,29,6500,https://www.specialized.com/us/en/demo-race-29/p/154301?color=226087-154301
Mens Stumpjumper Pro 29,170396,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Carbon,Gloss / Navy / White,93319-16_SJ-FSR_PRO-CARBON-29_NVY-WHT_HERO,29,6300,https://www.specialized.com/us/en/mens-stumpjumper-pro-29/p/170396?color=261460-170396
Roubaix Expert,170242,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$5000-$10000,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Gloss Crimson - Cast Berry Edge Fade/Dove Gray/Black,94420-30_ROUBAIX-EXPERT-UDI2-CRMSN-CSTBRY-DOVGRY_HERO,NA,6000,https://www.specialized.com/us/en/roubaix-expert/p/170242?color=260642-170242
Mens Turbo Levo Comp,154386,Sale,Bikes,Sale,Bikes,"Turbo E-Bikes: Its You, Only Faster",Disc,Trail|Turbo Levo,$5000-$10000,Front & Rear,Bikes,Turbo Levo FSR,Men,1x,E-Bike|Mountain,Aluminum,Taupe/Acid Kiwi,95219-50_LEVO-FSR_COMP-29_CSTBTLSHP-HYP_HERO,29,5950,https://www.specialized.com/us/en/mens-turbo-levo-comp/p/154386?color=239518-154386
Epic Expert EVO,155040,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$5000-$10000,Front & Rear,Bikes,Epic Evo,Men,1x,Mountain,Carbon,Gloss East Sierras/Tarmac Black,90318-33_EPIC-MEN-EXPERT-CARBON-EVO-29-ESTSRS-TARBLK_HERO,29,5850,https://www.specialized.com/us/en/epic-expert-evo/p/155040?color=239066-155040
Roubaix Expert,154667,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$5000-$10000,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Gloss Cosmic Black/Kool Silver,94419-30_RBX_EXPERT-UDI2_CSMBLK-KLSIL_HERO,700C,5800,https://www.specialized.com/us/en/roubaix-expert/p/154667?color=227338-154667
Ruby Expert,154489,Sale,Bikes,Road Bikes,Performance Road Bikes,Ruby,Disc,Performance Road,$5000-$10000,Front,Bikes,Ruby,Women,2x|Electronic,Road,Carbon,Gloss/Acid Kiwi/Black,90219-32_RUBY-EXPERT-UDI2-STRMGRY-ICEBLU-BLK_HERO,700C,5800,https://www.specialized.com/us/en/ruby-expert/p/154489?color=263240-154489
Epic Hardtail Pro,154338,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic Hardtail,Disc,Cross Country,$5000-$10000,Front,Bikes,Epic Hardtail,Men,1x,Mountain,Carbon,Satin Carbon/Acid Mint,91319-11_EPIC-HT_PRO-CARBON-29_WHT-TARBLK_HERO,29,5520,https://www.specialized.com/us/en/epic-hardtail-pro/p/154338?color=237766-154338
Mens Epic Expert,154346,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$5000-$10000,Front & Rear,Bikes,Epic,Men,1x,Mountain,Carbon,Gloss Storm Grey/Rocket Red,90319-31_EPIC_EXPERT-CARBON-29_STRMGRY-RKTRED_HERO,29,5520,https://www.specialized.com/us/en/mens-epic-expert/p/154346?color=239062-154346
S-Works Venge Frameset,154592,Sale,Bikes,Road Bikes,Performance Road Bikes,Venge,Disc,Performance Road,$5000-$10000,Rigid,Framesets,Venge,Men,2x,Road,Carbon,Satin Battleship/Cool Grey/Gloss Team Yellow/Edge Fade/Clean,77819-02_VENGE_SW-DISC-FRMSET_CSTBTLSHP-CLGRY-TEAMYEL_HERO,700C,5500,https://www.specialized.com/us/en/s-works-venge-frameset/p/154592?color=263541-154592
